airline,source_city,departure_time,stops,arrival_time,destination_city,classy,duration,days_left,price
Indigo,Delhi,Evening,one,Night,Mumbai,Economy,4.5,49,2410
AirAsia,Delhi,Morning,one,Evening,Bangalore,Economy,9.92,33,3090
Vistara,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7.33,16,11432
Air_India,Delhi,Afternoon,one,Late_Night,Bangalore,Economy,13.67,31,6570
Indigo,Delhi,Afternoon,one,Night,Mumbai,Economy,8.0,16,6317
Vistara,Delhi,Early_Morning,one,Night,Mumbai,Economy,12.83,41,7575
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,5.83,7,12150
AirAsia,Delhi,Evening,one,Late_Night,Mumbai,Economy,6.42,15,8869
Indigo,Delhi,Morning,two_or_more,Evening,Mumbai,Economy,9.67,40,13535
AirAsia,Delhi,Evening,one,Late_Night,Mumbai,Economy,6.42,43,2409
GO_FIRST,Delhi,Morning,one,Evening,Mumbai,Economy,9.0,47,8275
Air_India,Delhi,Night,one,Night,Bangalore,Economy,24.5,19,13200
Air_India,Delhi,Night,one,Night,Mumbai,Economy,23.83,46,6181
Air_India,Delhi,Evening,one,Night,Bangalore,Economy,27.25,11,12150
Vistara,Delhi,Night,zero,Night,Bangalore,Economy,2.67,26,4501
Indigo,Delhi,Evening,one,Early_Morning,Mumbai,Economy,10.17,48,3549
AirAsia,Delhi,Afternoon,one,Night,Bangalore,Economy,5.42,29,3090
Indigo,Delhi,Evening,zero,Night,Bangalore,Economy,2.83,26,4500
SpiceJet,Delhi,Morning,one,Evening,Bangalore,Economy,7.33,5,7425
Indigo,Delhi,Evening,one,Night,Bangalore,Economy,6.5,18,3354
AirAsia,Delhi,Afternoon,one,Night,Bangalore,Economy,8.25,11,16210
Vistara,Delhi,Morning,one,Afternoon,Bangalore,Economy,4.83,18,13358
Air_India,Delhi,Evening,one,Late_Night,Bangalore,Economy,8.92,28,5421
Indigo,Delhi,Evening,one,Night,Mumbai,Economy,5.33,10,10260
Air_India,Delhi,Evening,one,Morning,Bangalore,Economy,16.17,29,4230
Air_India,Delhi,Night,one,Afternoon,Mumbai,Economy,17.75,15,8036
Air_India,Delhi,Evening,one,Night,Mumbai,Economy,6.25,13,14670
Vistara,Delhi,Evening,one,Afternoon,Mumbai,Economy,18.58,25,5040
Indigo,Delhi,Early_Morning,one,Morning,Bangalore,Economy,5.08,31,4007
Vistara,Delhi,Morning,zero,Morning,Bangalore,Economy,2.75,44,4501
GO_FIRST,Delhi,Evening,one,Late_Night,Bangalore,Economy,7.5,20,4205
Vistara,Delhi,Morning,one,Afternoon,Bangalore,Economy,4.83,37,11323
GO_FIRST,Delhi,Early_Morning,one,Evening,Mumbai,Economy,11.75,34,8275
Air_India,Delhi,Morning,one,Night,Bangalore,Economy,11.58,44,6953
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,43,6296
GO_FIRST,Delhi,Morning,one,Evening,Bangalore,Economy,6.83,21,4205
Indigo,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,6.5,47,3127
Air_India,Delhi,Afternoon,one,Night,Bangalore,Economy,8.67,11,11520
Vistara,Delhi,Morning,one,Evening,Bangalore,Economy,8.92,27,4896
Indigo,Delhi,Afternoon,one,Night,Bangalore,Economy,7.83,3,15038
GO_FIRST,Delhi,Evening,one,Night,Mumbai,Economy,4.75,27,3330
Indigo,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.17,9,6165
Air_India,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.92,29,6312
Vistara,Delhi,Evening,one,Night,Bangalore,Economy,5.08,22,4896
AirAsia,Delhi,Morning,one,Evening,Bangalore,Economy,11.0,1,8056
GO_FIRST,Delhi,Morning,one,Evening,Bangalore,Economy,5.67,27,4020
Vistara,Delhi,Afternoon,one,Morning,Mumbai,Economy,19.25,12,9840
Indigo,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,25,3001
Vistara,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.5,14,10050
Indigo,Delhi,Night,one,Early_Morning,Mumbai,Economy,9.58,47,4169
Air_India,Delhi,Night,one,Morning,Bangalore,Economy,13.33,3,9840
Indigo,Delhi,Evening,one,Night,Bangalore,Economy,5.92,46,4007
Indigo,Delhi,Evening,one,Night,Bangalore,Economy,6.5,16,5435
Air_India,Delhi,Early_Morning,one,Night,Mumbai,Economy,17.83,39,4233
Vistara,Delhi,Morning,one,Night,Mumbai,Economy,12.58,21,5227
Air_India,Delhi,Evening,one,Afternoon,Bangalore,Economy,21.67,22,3621
GO_FIRST,Delhi,Night,zero,Night,Mumbai,Economy,2.5,48,2410
Indigo,Delhi,Morning,two_or_more,Evening,Mumbai,Economy,9.67,28,2568
Indigo,Delhi,Afternoon,one,Evening,Mumbai,Economy,3.83,38,4967
Air_India,Delhi,Morning,one,Morning,Mumbai,Economy,22.33,49,3855
Vistara,Delhi,Afternoon,one,Night,Bangalore,Economy,6.58,45,4496
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,13.08,16,5040
Air_India,Delhi,Evening,one,Night,Mumbai,Economy,3.75,38,2476
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,13.08,4,13410
Vistara,Delhi,Morning,one,Evening,Bangalore,Economy,9.5,39,6963
Air_India,Delhi,Morning,zero,Morning,Mumbai,Economy,2.25,8,5955
Air_India,Delhi,Night,one,Morning,Mumbai,Economy,11.42,22,4590
Air_India,Delhi,Evening,one,Evening,Mumbai,Economy,22.75,31,5026
Air_India,Delhi,Evening,one,Morning,Bangalore,Economy,17.17,31,4230
Air_India,Delhi,Evening,one,Morning,Bangalore,Economy,15.17,39,4230
GO_FIRST,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.75,5,5954
Indigo,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,9,5955
GO_FIRST,Delhi,Evening,one,Night,Bangalore,Economy,7.0,26,7409
Vistara,Delhi,Evening,one,Night,Bangalore,Economy,6.08,35,4896
Air_India,Delhi,Early_Morning,one,Evening,Mumbai,Economy,11.0,18,4853
Air_India,Delhi,Afternoon,one,Night,Mumbai,Economy,7.92,19,7262
AirAsia,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,10.33,43,3090
Indigo,Delhi,Morning,one,Evening,Bangalore,Economy,9.08,11,9735
GO_FIRST,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,34,2410
SpiceJet,Delhi,Evening,zero,Night,Bangalore,Economy,2.75,28,4721
Vistara,Delhi,Afternoon,one,Evening,Mumbai,Economy,5.0,26,4968
AirAsia,Delhi,Night,one,Early_Morning,Mumbai,Economy,10.5,39,2409
AirAsia,Delhi,Early_Morning,one,Night,Mumbai,Economy,12.58,39,2409
SpiceJet,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,39,4197
Indigo,Delhi,Evening,zero,Night,Bangalore,Economy,2.92,2,7425
SpiceJet,Delhi,Evening,zero,Night,Bangalore,Economy,2.75,41,4500
Vistara,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,8,5955
GO_FIRST,Delhi,Early_Morning,one,Morning,Mumbai,Economy,5.58,15,5954
AirAsia,Delhi,Afternoon,one,Late_Night,Mumbai,Economy,13.75,19,4867
Vistara,Delhi,Night,one,Afternoon,Mumbai,Economy,17.92,43,5227
Air_India,Delhi,Night,one,Afternoon,Bangalore,Economy,16.92,36,3610
GO_FIRST,Delhi,Morning,one,Evening,Bangalore,Economy,9.17,33,4020
Vistara,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.17,36,2700
Indigo,Delhi,Night,zero,Late_Night,Bangalore,Economy,2.92,10,7425
Vistara,Delhi,Morning,zero,Morning,Bangalore,Economy,2.75,49,4501
Vistara,Delhi,Morning,one,Night,Mumbai,Economy,11.17,19,6296
Air_India,Delhi,Night,one,Evening,Mumbai,Economy,21.58,11,13410
GO_FIRST,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,42,2410
GO_FIRST,Delhi,Afternoon,one,Night,Bangalore,Economy,4.75,33,3568
Air_India,Delhi,Early_Morning,one,Night,Mumbai,Economy,16.25,48,3831
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,9.17,7,12150
Air_India,Delhi,Afternoon,one,Night,Mumbai,Economy,8.25,46,5507
Indigo,Delhi,Late_Night,zero,Early_Morning,Bangalore,Economy,2.92,29,4500
Indigo,Delhi,Evening,zero,Evening,Mumbai,Economy,2.17,7,6585
Vistara,Delhi,Morning,one,Night,Mumbai,Economy,12.17,47,6296
Indigo,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,5.08,23,6239
Indigo,Delhi,Morning,one,Evening,Bangalore,Economy,8.58,42,4007
AirAsia,Delhi,Morning,one,Evening,Bangalore,Economy,9.92,44,3090
Vistara,Delhi,Evening,one,Early_Morning,Bangalore,Economy,12.0,11,10680
GO_FIRST,Delhi,Afternoon,one,Late_Night,Bangalore,Economy,10.17,45,4205
Vistara,Delhi,Morning,one,Night,Mumbai,Economy,11.17,3,18713
Air_India,Delhi,Morning,one,Afternoon,Mumbai,Economy,30.08,3,15405
Indigo,Delhi,Afternoon,zero,Afternoon,Bangalore,Economy,2.92,15,4500
AirAsia,Delhi,Morning,one,Evening,Bangalore,Economy,8.25,48,3569
Air_India,Delhi,Morning,one,Afternoon,Bangalore,Economy,27.33,18,4728
GO_FIRST,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,40,2410
Air_India,Delhi,Night,one,Night,Bangalore,Economy,24.83,18,4041
Air_India,Delhi,Early_Morning,one,Early_Morning,Mumbai,Economy,24.08,49,3831
Vistara,Delhi,Morning,one,Afternoon,Bangalore,Economy,4.83,39,9592
Air_India,Delhi,Evening,one,Evening,Bangalore,Economy,25.08,33,5504
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,13,12150
Air_India,Delhi,Afternoon,zero,Evening,Bangalore,Economy,2.75,45,4427
AirAsia,Delhi,Early_Morning,one,Evening,Bangalore,Economy,11.5,24,3569
Vistara,Delhi,Early_Morning,one,Evening,Bangalore,Economy,10.25,13,10680
Vistara,Delhi,Evening,one,Early_Morning,Bangalore,Economy,14.17,48,7023
GO_FIRST,Delhi,Early_Morning,one,Evening,Bangalore,Economy,8.17,29,5610
Air_India,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,9.75,43,3291
Air_India,Delhi,Morning,one,Evening,Mumbai,Economy,7.25,39,3855
Vistara,Delhi,Afternoon,one,Night,Bangalore,Economy,7.33,39,4496
Vistara,Delhi,Night,one,Morning,Mumbai,Economy,11.58,28,6296
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,36,7575
GO_FIRST,Delhi,Morning,one,Afternoon,Mumbai,Economy,5.08,24,4793
Vistara,Delhi,Afternoon,zero,Evening,Bangalore,Economy,2.75,44,4501
Vistara,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,2.17,16,2476
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,17.83,30,4381
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,8,14040
Air_India,Delhi,Evening,one,Night,Mumbai,Economy,6.67,15,5931
Vistara,Delhi,Night,one,Morning,Mumbai,Economy,11.58,15,6296
Air_India,Delhi,Early_Morning,one,Morning,Mumbai,Economy,26.0,36,3855
Air_India,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7.25,23,6339
Vistara,Delhi,Morning,zero,Morning,Mumbai,Economy,2.08,44,2700
GO_FIRST,Delhi,Morning,one,Evening,Mumbai,Economy,9.0,45,9124
Indigo,Delhi,Evening,one,Night,Mumbai,Economy,5.33,9,6443
Air_India,Delhi,Morning,one,Evening,Mumbai,Economy,7.25,1,23206
Vistara,Delhi,Early_Morning,one,Evening,Bangalore,Economy,10.25,28,4896
AirAsia,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,8.17,34,3090
GO_FIRST,Delhi,Early_Morning,one,Evening,Mumbai,Economy,11.0,45,7907
Air_India,Delhi,Evening,one,Evening,Bangalore,Economy,24.67,19,4230
AirAsia,Delhi,Morning,one,Evening,Bangalore,Economy,9.92,39,3090
Indigo,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,7.17,17,8723
Air_India,Delhi,Evening,zero,Night,Bangalore,Economy,2.75,41,4427
Air_India,Delhi,Morning,one,Afternoon,Bangalore,Economy,6.17,16,4030
Air_India,Delhi,Evening,one,Night,Mumbai,Economy,6.67,23,4881
GO_FIRST,Delhi,Late_Night,zero,Early_Morning,Mumbai,Economy,2.25,36,2410
Air_India,Delhi,Afternoon,one,Morning,Mumbai,Economy,19.08,3,19605
Air_India,Delhi,Morning,one,Night,Mumbai,Economy,11.33,25,6181
Indigo,Delhi,Afternoon,one,Evening,Bangalore,Economy,6.67,27,3253
Indigo,Delhi,Early_Morning,zero,Morning,Bangalore,Economy,2.67,32,4500
AirAsia,Delhi,Afternoon,two_or_more,Night,Bangalore,Economy,8.25,46,3090
AirAsia,Delhi,Morning,zero,Afternoon,Bangalore,Economy,2.83,8,7426
Indigo,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.25,2,5955
AirAsia,Delhi,Afternoon,two_or_more,Night,Bangalore,Economy,8.25,4,7423
GO_FIRST,Delhi,Morning,one,Night,Bangalore,Economy,10.58,7,7424
Vistara,Delhi,Evening,one,Early_Morning,Bangalore,Economy,14.67,12,14767
Air_India,Delhi,Night,one,Afternoon,Bangalore,Economy,16.92,25,4030
GO_FIRST,Delhi,Evening,one,Night,Bangalore,Economy,7.0,10,13647
GO_FIRST,Delhi,Morning,one,Evening,Mumbai,Economy,7.08,29,5268
SpiceJet,Delhi,Early_Morning,zero,Morning,Bangalore,Economy,2.5,11,7425
Indigo,Delhi,Morning,one,Evening,Mumbai,Economy,8.33,37,2463
Vistara,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.17,13,5955
AirAsia,Delhi,Afternoon,one,Late_Night,Mumbai,Economy,14.25,49,2409
Air_India,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,9.75,33,3291
Air_India,Delhi,Morning,zero,Afternoon,Bangalore,Economy,2.75,44,4427
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,4.42,21,10050
Vistara,Delhi,Early_Morning,two_or_more,Morning,Bangalore,Economy,27.25,1,22374
GO_FIRST,Delhi,Night,one,Early_Morning,Bangalore,Economy,9.17,24,4020
Air_India,Delhi,Night,one,Afternoon,Mumbai,Economy,16.17,23,5281
Vistara,Delhi,Morning,one,Evening,Bangalore,Economy,9.08,49,3357
Air_India,Delhi,Early_Morning,one,Night,Mumbai,Economy,14.92,18,5761
Indigo,Delhi,Afternoon,one,Night,Mumbai,Economy,8.08,46,3546
Indigo,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,4,5955
Indigo,Delhi,Evening,one,Late_Night,Bangalore,Economy,9.17,40,3587
SpiceJet,Delhi,Afternoon,one,Morning,Bangalore,Economy,19.83,42,7685
Indigo,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,6.5,46,3127
AirAsia,Delhi,Afternoon,two_or_more,Night,Bangalore,Economy,10.92,6,11940
Vistara,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,6.5,28,7575
Vistara,Delhi,Night,one,Morning,Bangalore,Economy,12.17,33,4272
GO_FIRST,Delhi,Morning,one,Afternoon,Mumbai,Economy,6.75,37,6089
Indigo,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.17,36,3001
Vistara,Delhi,Morning,one,Morning,Bangalore,Economy,24.42,2,11100
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,35,6296
Indigo,Delhi,Night,one,Early_Morning,Mumbai,Economy,7.67,38,4020
Indigo,Delhi,Night,one,Morning,Mumbai,Economy,10.42,18,3546
GO_FIRST,Delhi,Evening,one,Night,Mumbai,Economy,4.42,45,3330
Air_India,Delhi,Evening,one,Afternoon,Mumbai,Economy,19.5,11,12990
Indigo,Delhi,Evening,zero,Evening,Mumbai,Economy,2.17,20,3570
Air_India,Delhi,Morning,one,Afternoon,Bangalore,Economy,29.17,22,3621
Indigo,Delhi,Afternoon,zero,Afternoon,Bangalore,Economy,2.92,32,4500
Indigo,Delhi,Evening,one,Late_Night,Bangalore,Economy,7.33,42,4094
SpiceJet,Delhi,Evening,one,Evening,Bangalore,Economy,23.08,27,3877
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,9.17,47,6296
Indigo,Delhi,Night,one,Morning,Bangalore,Economy,11.0,16,3671
AirAsia,Delhi,Early_Morning,one,Night,Mumbai,Economy,12.58,38,2409
Vistara,Delhi,Afternoon,one,Night,Bangalore,Economy,6.58,24,4496
Indigo,Delhi,Evening,zero,Evening,Mumbai,Economy,2.17,42,3570
Vistara,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,25.58,33,4781
Vistara,Delhi,Night,one,Night,Mumbai,Economy,26.42,5,9840
Vistara,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.5,40,5227
Air_India,Delhi,Evening,one,Evening,Bangalore,Economy,22.5,12,11100
Air_India,Delhi,Morning,one,Morning,Mumbai,Economy,23.92,18,4251
AirAsia,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,10.92,29,3090
Vistara,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,16,2700
Vistara,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,2.17,8,5955
GO_FIRST,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,6.17,13,7424
AirAsia,Delhi,Afternoon,two_or_more,Night,Bangalore,Economy,11.5,19,8056
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,17.83,3,17978
GO_FIRST,Delhi,Afternoon,zero,Afternoon,Mumbai,Economy,2.08,13,5954
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,7.92,36,4381
GO_FIRST,Delhi,Evening,one,Night,Mumbai,Economy,4.75,17,4168
Air_India,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,41,2476
Vistara,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,6.5,8,16665
Air_India,Delhi,Morning,one,Afternoon,Bangalore,Economy,4.58,3,9840
Indigo,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.83,23,3657
Vistara,Delhi,Morning,one,Night,Mumbai,Economy,11.67,48,6296
GO_FIRST,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,9.75,41,5087
Air_India,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,47,2476
AirAsia,Delhi,Evening,one,Early_Morning,Mumbai,Economy,12.25,13,5949
Indigo,Delhi,Night,zero,Late_Night,Bangalore,Economy,2.92,33,4500
GO_FIRST,Delhi,Early_Morning,one,Evening,Bangalore,Economy,8.17,34,6919
Air_India,Delhi,Early_Morning,one,Morning,Bangalore,Economy,27.17,21,4444
Indigo,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,7.17,38,5774
Air_India,Delhi,Early_Morning,one,Night,Mumbai,Economy,17.08,45,4496
Vistara,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,26.67,48,4170
Vistara,Delhi,Night,one,Morning,Mumbai,Economy,13.42,31,5857
Air_India,Delhi,Afternoon,zero,Evening,Bangalore,Economy,2.75,6,7425
Air_India,Delhi,Early_Morning,one,Night,Bangalore,Economy,14.67,19,5099
Indigo,Delhi,Night,one,Morning,Mumbai,Economy,10.17,29,4055
Indigo,Delhi,Morning,one,Evening,Mumbai,Economy,7.67,6,11814
Air_India,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,37,2476
AirAsia,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,7.42,13,7423
Indigo,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,9.08,1,14670
Air_India,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,6.33,36,5231
Indigo,Delhi,Afternoon,one,Night,Mumbai,Economy,10.33,11,5955
AirAsia,Delhi,Afternoon,two_or_more,Night,Bangalore,Economy,8.0,11,7423
Vistara,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.08,41,8805
Air_India,Delhi,Afternoon,zero,Evening,Bangalore,Economy,2.75,30,4427
